Tue Nov 28 10:54:12 2023,bequant,USDT,ETC,BTC,18.46255,9.89,0.0004966,10.37,37102.92,0.00326,99.79829477509877
Tue Nov 28 10:54:20 2023,bitfinex,USDT,ETH,BTC,2018.6,4.96140382,0.054394,4.95481,37099.0,0.00010617,99.96844377291191
Tue Nov 28 10:54:23 2023,bitmex,USDT,ETH,BTC,2019.65,0.098,0.0543534,0.19,37071.0,0.0001,99.76653833089892
Tue Nov 28 10:54:25 2023,bequant,USDT,BAT,BTC,0.207821,38.0,5.594e-06,1628.0,37096.88,0.00021,99.85513818141573
Tue Nov 28 10:54:28 2023,binance,USDT,ETH,BTC,2018.24,100.1497,0.05439,23.5765,37092.2,0.85261,99.96059725305216
Tue Nov 28 10:54:29 2023,bigone,USDT,XIN,BTC,141.6,1.47413,0.003702,8.0953,37089.71,0.031042,96.96758927966103
Tue Nov 28 10:54:31 2023,bitforex,USDT,EXCC,BTC,0.022796,45.1619,5.7e-07,1230.4165,37091.1,0.0134,92.74402088085628
Tue Nov 28 10:54:38 2023,ascendex,USDT,ETH,BTC,2019.26,2.62,0.05411,0.004,37048.53,0.00437,99.27874361399721
Tue Nov 28 10:54:40 2023,bitforex,USDT,DASH,BTC,29.75,0.2532,0.00079823,1.6576,37084.36,0.0152,99.50201237915967
Tue Nov 28 10:54:48 2023,bequant,USDT,BAT,BTC,0.207821,38.0,5.594e-06,1628.0,37080.84,0.00021,99.81196267942123
Tue Nov 28 10:54:52 2023,bitmex,USDT,ETH,BTC,2019.1,0.267,0.0543534,0.19,37055.0,0.0001,99.75064320736963
Tue Nov 28 10:54:54 2023,bigone,USDT,EOS,BTC,0.6729,775.59,1.81e-05,1006.0,37083.77,0.014291,99.74977515232574
Tue Nov 28 10:54:56 2023,bitforex,USDT,MATIC,BTC,0.7382,49.3571,1.986e-05,140.8958,37090.23,0.0061,99.78487778379845
Tue Nov 28 10:54:56 2023,bequant,USDT,DOGE,BTC,0.07744511,2650.0,1.79727e-06,1160.0,37089.96,0.0002,86.07473397506956
Tue Nov 28 10:55:02 2023,bitso,USDT,ETH,BTC,2018.3,1.04064476,0.054363,0.9908778,37045.0,0.15366923,99.78087177327454
Tue Nov 28 10:55:05 2023,bequant,USDT,DOGE,BTC,0.07743262,2650.0,2.01246e-06,1300.0,37094.83,1.78795,96.40880236494645
Tue Nov 28 10:55:05 2023,bitfinex,USDT,LTC,BTC,69.005,11.506,0.0018593,39.03,37092.0,0.2436758,99.94225867690747
Tue Nov 28 10:55:14 2023,btcalpha,USDT,DOGE,BTC,0.077202,319.54,1.95e-06,205.0,37078.840000000004,0.019,93.65526540763193
Tue Nov 28 10:55:16 2023,bitmex,USDT,ETH,BTC,2019.5,0.273,0.0543534,0.19,37072.5,0.013,99.77798571428572
Tue Nov 28 10:55:16 2023,bequant,USDT,TRX,BTC,0.1019702,77.0,2.746e-06,3856.0,37104.66,0.00041,99.9207575938853
Tue Nov 28 10:55:28 2023,btcalpha,USDT,LTC,BTC,68.64,5.4912,0.0017570000000000003,0.22000000000000003,37011.06,0.145,94.73839222027975
Tue Nov 28 10:55:35 2023,btcalpha,USDT,TRX,BTC,0.102111,7755.7300000000005,2.5899999999999998e-06,154.0,37030.0,0.086,93.92494442322571
